user_id,signup_date,region,plan_tier,device,signup_source,mobile_only_user,posts_first_week,comments_first_week,shares_first_week,sessions_per_week,profile_completeness,invites_sent,session_duration_avg,support_tickets,retention_30d
u_000093,2026-01-05 00:00:00+00:00,US,free,both,organic,0,0,1,0,0.6,0.19,3,3.5,0,1
u_000094,2026-03-16 00:00:00+00:00,US,free,web,paid,0,1,0,0,2.3,0.26,1,10.4,0,1
u_000095,2025-12-02 00:00:00+00:00,EU,free,both,organic,0,0,3,0,1.6,0.28,0,1.0,0,0
u_000096,2025-09-21 00:00:00+00:00,US,free,web,organic,0,0,1,1,2.3,0.22,1,17.6,0,1
u_000097,2026-03-28 00:00:00+00:00,US,free,mobile,organic,1,2,2,0,3.8,0.26,1,2.4,0,0
u_000098,2025-06-24 00:00:00+00:00,US,free,mobile,direct,1,0,2,1,0.6,0.06,0,17.0,0,0
u_000099,2025-06-01 00:00:00+00:00,Other,pro,both,paid,0,0,0,1,2.8,0.09,1,12.1,0,1
u_000100,2025-09-24 00:00:00+00:00,APAC,free,web,organic,0,0,1,0,7.6,0.23,0,16.6,0,0
u_000101,2026-02-16 00:00:00+00:00,EU,free,web,organic,0,0,0,0,1.7,0.15,0,3.0,0,0
u_000102,2026-03-03 00:00:00+00:00,US,free,mobile,organic,1,0,0,0,3.4,0.5,1,6.3,0,0
u_000103,2025-07-14 00:00:00+00:00,Other,free,mobile,paid,1,0,2,0,0.3,0.3,1,9.3,1,0
u_000104,2025-12-16 00:00:00+00:00,EU,pro,mobile,paid,1,0,1,0,0.6,0.38,0,10.4,0,0
u_000105,2026-05-02 00:00:00+00:00,EU,free,web,paid,0,0,0,0,1.4,0.2,0,14.5,0,1
u_000106,2025-12-26 00:00:00+00:00,US,pro,web,paid,0,0,3,1,5.9,0.29,0,12.4,1,0
u_000107,2025-08-07 00:00:00+00:00,US,pro,both,organic,0,1,1,0,1.6,0.41,1,10.8,0,1
u_000108,2025-10-02 00:00:00+00:00,US,pro,mobile,organic,1,3,2,0,3.5,0.36,1,10.9,0,0
u_000109,2025-08-06 00:00:00+00:00,APAC,free,mobile,organic,1,0,0,1,1.6,0.01,0,12.8,0,0
u_000110,2025-09-22 00:00:00+00:00,US,free,web,paid,0,0,2,1,0.8,0.1,0,7.5,1,1
u_000111,2026-02-17 00:00:00+00:00,US,pro,web,organic,0,0,0,0,2.1,0.45,0,18.5,1,0
u_000112,2025-10-29 00:00:00+00:00,US,pro,both,referral,0,0,1,0,3.7,0.5,1,6.9,0,0
u_000113,2025-10-28 00:00:00+00:00,EU,free,mobile,organic,1,0,1,0,5.1,0.18,0,1.9,0,0
u_000114,2025-05-30 00:00:00+00:00,US,pro,web,paid,0,0,0,0,2.3,0.46,0,20.0,0,0
u_000115,2026-02-04 00:00:00+00:00,APAC,free,both,organic,0,1,1,1,3.5,0.17,1,10.7,0,1
u_000116,2026-01-25 00:00:00+00:00,EU,free,mobile,organic,1,2,1,0,2.6,0.18,0,6.6,0,1
u_000117,2026-03-08 00:00:00+00:00,EU,pro,web,referral,0,0,1,0,2.8,0.03,0,8.1,0,0
u_000118,2026-01-04 00:00:00+00:00,US,free,web,organic,0,0,1,0,1.2,0.59,0,24.7,0,0
u_000119,2025-10-10 00:00:00+00:00,EU,free,mobile,organic,1,2,1,0,1.3,0.16,1,8.0,0,1
u_000120,2025-12-17 00:00:00+00:00,EU,enterprise,web,organic,0,1,2,1,0.9,0.1,0,24.9,1,1
u_000121,2025-09-01 00:00:00+00:00,EU,pro,mobile,referral,1,2,0,0,1.7,0.13,2,10.8,0,1
u_000122,2026-05-01 00:00:00+00:00,US,pro,mobile,organic,1,0,0,0,4.6,0.11,0,5.5,0,0
u_000123,2025-09-05 00:00:00+00:00,US,free,web,direct,0,0,0,0,6.9,0.16,0,2.6,0,1
u_000124,2025-06-28 00:00:00+00:00,US,enterprise,both,direct,0,0,1,0,4.6,0.46,1,7.9,0,0
u_000125,2025-07-21 00:00:00+00:00,US,free,web,referral,0,0,2,0,3.4,0.26,1,21.1,0,0
u_000126,2025-12-07 00:00:00+00:00,US,free,web,organic,0,0,0,0,2.5,0.19,1,4.7,0,0
u_000127,2025-09-04 00:00:00+00:00,US,free,mobile,paid,1,2,0,0,4.6,0.38,0,9.9,0,0
u_000128,2025-08-13 00:00:00+00:00,US,pro,mobile,organic,1,0,0,2,14.4,0.31,2,25.2,0,0
u_000129,2026-01-04 00:00:00+00:00,EU,pro,web,direct,0,0,1,1,3.0,0.4,0,1.8,0,1
u_000130,2026-01-06 00:00:00+00:00,US,pro,mobile,paid,1,2,0,0,3.7,0.57,2,10.2,0,1
u_000131,2025-05-31 00:00:00+00:00,APAC,free,both,organic,0,0,0,2,3.0,0.1,0,11.5,0,1
u_000132,2025-07-27 00:00:00+00:00,EU,free,both,organic,0,0,1,1,8.2,0.08,0,9.8,0,1
u_000133,2025-06-09 00:00:00+00:00,US,free,both,referral,0,0,2,0,2.2,0.16,0,1.9,0,0
u_000134,2025-07-11 00:00:00+00:00,EU,free,web,direct,0,0,1,0,1.2,0.16,1,4.0,0,0
u_000135,2025-12-10 00:00:00+00:00,US,free,web,paid,0,0,1,0,4.0,0.4,1,1.4,0,0
u_000136,2025-12-29 00:00:00+00:00,Other,free,mobile,paid,1,0,1,0,1.3,0.31,0,2.6,1,0
u_000137,2025-06-03 00:00:00+00:00,US,pro,web,referral,0,0,0,0,3.1,0.31,0,14.5,1,0
u_000138,2025-11-23 00:00:00+00:00,EU,pro,both,referral,0,0,2,1,2.6,0.08,0,5.7,0,0
u_000139,2025-05-30 00:00:00+00:00,US,pro,web,referral,0,1,3,0,3.4,0.06,1,14.2,0,1
u_000140,2025-10-08 00:00:00+00:00,US,free,web,organic,0,0,2,0,2.6,0.34,1,13.6,0,0
u_000141,2025-08-25 00:00:00+00:00,US,free,web,paid,0,1,0,0,0.4,0.26,1,3.0,1,1
u_000142,2025-09-06 00:00:00+00:00,APAC,free,web,direct,0,0,1,0,3.8,0.13,0,8.5,0,1
u_000143,2025-08-02 00:00:00+00:00,EU,free,web,organic,0,0,0,0,3.2,0.25,1,2.1,0,0
u_000144,2026-03-31 00:00:00+00:00,US,free,mobile,organic,1,1,2,1,5.4,0.13,1,9.2,0,1
u_000145,2026-04-12 00:00:00+00:00,US,free,mobile,organic,1,0,0,0,1.4,0.05,0,10.4,1,1
u_000146,2026-02-05 00:00:00+00:00,US,free,web,organic,0,0,3,0,0.4,0.15,0,6.2,0,0
u_000147,2026-02-14 00:00:00+00:00,US,free,web,referral,0,1,1,0,4.0,0.23,1,1.9,0,0
u_000148,2025-11-24 00:00:00+00:00,US,free,both,organic,0,0,3,0,3.9,0.25,0,2.2,0,1
u_000149,2026-04-09 00:00:00+00:00,US,free,web,paid,0,0,2,0,3.7,0.34,1,56.5,0,1
u_000150,2025-11-09 00:00:00+00:00,APAC,free,mobile,organic,1,0,1,0,9.1,0.14,0,12.1,1,0
u_000151,2026-03-29 00:00:00+00:00,APAC,free,mobile,direct,1,0,3,1,0.1,0.33,1,5.9,0,1
u_000152,2025-08-30 00:00:00+00:00,US,free,mobile,referral,1,0,1,0,0.4,0.26,0,15.9,2,0
u_000153,2025-08-13 00:00:00+00:00,EU,free,both,paid,0,0,0,0,0.8,0.4,1,24.0,0,0
u_000154,2025-06-03 00:00:00+00:00,US,free,mobile,referral,1,0,1,0,4.3,0.45,0,19.5,0,0
u_000155,2026-03-10 00:00:00+00:00,EU,free,both,organic,0,1,1,0,5.7,0.06,0,6.3,0,0
u_000156,2026-04-23 00:00:00+00:00,US,pro,both,referral,0,0,3,2,2.6,0.34,0,5.7,0,0
u_000157,2026-01-06 00:00:00+00:00,EU,free,web,referral,0,2,1,0,3.8,0.38,2,14.0,0,0
u_000158,2025-08-31 00:00:00+00:00,EU,free,web,organic,0,1,1,0,1.3,0.25,0,6.1,0,1
u_000159,2025-12-15 00:00:00+00:00,EU,free,web,direct,0,1,4,0,1.0,0.36,0,19.3,0,1
u_000160,2026-03-09 00:00:00+00:00,US,free,web,organic,0,0,0,1,0.5,0.52,0,8.1,0,0
u_000161,2026-04-29 00:00:00+00:00,APAC,free,mobile,paid,1,1,1,0,3.8,0.26,2,13.9,0,0
u_000162,2026-03-25 00:00:00+00:00,US,pro,web,organic,0,1,3,0,5.4,0.2,0,17.0,0,1
u_000163,2025-07-13 00:00:00+00:00,US,free,web,referral,0,0,0,0,0.7,0.26,0,2.6,0,0
u_000164,2025-07-28 00:00:00+00:00,EU,free,web,organic,0,1,0,0,1.2,0.35,1,8.3,0,0
u_000165,2025-07-19 00:00:00+00:00,US,free,mobile,organic,1,2,1,0,1.6,0.27,0,18.5,1,1
u_000166,2025-11-17 00:00:00+00:00,APAC,free,mobile,paid,1,0,3,1,0.8,0.25,1,3.9,1,1
u_000167,2026-05-17 00:00:00+00:00,APAC,free,both,direct,0,0,4,1,3.2,0.17,1,4.8,0,0
u_000168,2025-09-19 00:00:00+00:00,US,free,web,organic,0,0,0,0,1.9,0.24,0,19.3,0,1
u_000169,2025-10-19 00:00:00+00:00,Other,free,web,paid,0,0,1,0,6.1,0.07,0,25.1,0,1
u_000170,2025-10-04 00:00:00+00:00,US,enterprise,both,paid,0,0,1,0,1.3,0.23,1,0.4,0,0
u_000171,2025-10-17 00:00:00+00:00,US,pro,mobile,referral,1,1,1,2,4.6,0.28,0,19.3,1,0
u_000172,2026-02-22 00:00:00+00:00,US,enterprise,mobile,organic,1,1,0,0,0.6,0.37,0,1.2,1,0
u_000173,2025-10-07 00:00:00+00:00,APAC,free,mobile,paid,1,0,4,0,1.5,0.39,2,7.0,0,0
u_000174,2025-06-10 00:00:00+00:00,US,pro,web,direct,0,0,2,0,2.7,0.25,1,2.4,0,0
u_000175,2026-02-18 00:00:00+00:00,US,free,both,organic,0,0,2,0,3.2,0.02,1,4.8,0,1
u_000176,2026-02-21 00:00:00+00:00,US,free,mobile,organic,1,0,1,0,6.7,0.16,0,8.0,0,0
u_000177,2026-03-23 00:00:00+00:00,Other,enterprise,mobile,direct,1,0,2,0,3.1,0.47,0,11.3,0,0
u_000178,2025-10-03 00:00:00+00:00,APAC,free,mobile,organic,1,1,2,1,3.2,0.1,0,23.2,1,1
u_000179,2026-04-22 00:00:00+00:00,EU,pro,web,organic,0,0,3,0,1.0,0.37,0,2.5,2,1
u_000180,2025-10-16 00:00:00+00:00,APAC,pro,web,organic,0,2,0,1,1.2,0.31,0,18.6,0,0
u_000181,2025-09-02 00:00:00+00:00,APAC,free,both,referral,0,1,1,0,1.6,0.05,1,5.9,1,0
u_000182,2026-02-04 00:00:00+00:00,US,free,mobile,direct,1,0,0,0,2.4,0.03,0,6.0,1,0
u_000183,2025-11-25 00:00:00+00:00,US,free,web,paid,0,0,3,0,2.2,0.51,1,28.8,0,1
u_000184,2026-02-23 00:00:00+00:00,EU,pro,web,paid,0,3,3,0,3.2,0.13,0,14.5,0,0
u_000185,2025-10-12 00:00:00+00:00,EU,pro,both,organic,0,0,1,0,6.2,0.14,0,1.9,0,1
u_000186,2026-03-18 00:00:00+00:00,US,free,web,organic,0,0,0,0,2.5,0.16,2,6.9,0,0
u_000187,2025-11-01 00:00:00+00:00,US,free,web,organic,0,0,0,0,4.2,0.27,0,4.1,0,0
u_000188,2025-10-28 00:00:00+00:00,EU,free,mobile,organic,1,0,3,0,1.2,0.23,1,5.2,0,0
u_000189,2025-09-25 00:00:00+00:00,US,free,both,organic,0,0,1,0,6.8,0.27,0,6.7,0,0
u_000190,2025-06-28 00:00:00+00:00,APAC,free,mobile,paid,1,1,0,1,2.4,0.27,0,10.7,0,0
u_000191,2025-09-08 00:00:00+00:00,US,pro,both,organic,0,0,0,0,6.8,0.6,0,2.7,0,0
u_000192,2026-02-12 00:00:00+00:00,US,free,web,organic,0,2,1,0,2.0,0.19,0,6.2,0,1
u_000193,2026-03-07 00:00:00+00:00,APAC,pro,both,organic,0,0,1,0,1.7,0.24,0,5.4,0,0
u_000194,2025-12-17 00:00:00+00:00,US,free,both,organic,0,1,3,0,1.4,0.49,0,10.0,0,0
u_000195,2025-09-14 00:00:00+00:00,US,free,mobile,organic,1,0,1,0,0.9,0.38,0,7.1,0,0
u_000196,2025-12-31 00:00:00+00:00,EU,free,mobile,organic,1,0,1,0,4.9,0.25,0,15.6,0,0
u_000197,2026-02-12 00:00:00+00:00,APAC,pro,web,organic,0,0,3,0,1.2,0.17,0,9.1,0,1
u_000198,2025-09-11 00:00:00+00:00,US,free,web,paid,0,0,0,0,3.1,0.38,0,12.0,0,1
u_000199,2026-05-13 00:00:00+00:00,US,free,web,referral,0,0,1,0,0.8,0.47,0,8.9,1,1
u_000200,2025-07-22 00:00:00+00:00,EU,free,web,direct,0,0,0,0,8.1,0.59,0,2.9,0,1
u_000201,2025-07-29 00:00:00+00:00,Other,pro,both,referral,0,0,0,0,5.0,0.09,0,5.5,0,1
u_000202,2026-04-21 00:00:00+00:00,US,free,web,paid,0,0,0,0,4.7,0.08,1,4.3,0,1
u_000203,2025-08-22 00:00:00+00:00,US,free,mobile,direct,1,0,0,0,2.8,0.28,2,13.6,0,0
u_000204,2025-11-04 00:00:00+00:00,US,pro,web,paid,0,0,1,0,2.2,0.35,2,14.6,0,0
u_000205,2025-08-22 00:00:00+00:00,US,pro,web,paid,0,0,1,0,1.5,0.64,0,6.9,0,1
u_000206,2025-08-17 00:00:00+00:00,US,free,web,organic,0,1,1,0,6.7,0.53,0,8.3,0,1
u_000207,2026-01-06 00:00:00+00:00,EU,free,web,organic,0,0,1,0,0.6,0.28,1,2.1,0,0
u_000208,2025-07-30 00:00:00+00:00,US,free,mobile,organic,1,0,4,0,3.9,0.25,0,5.4,0,0
u_000209,2025-08-14 00:00:00+00:00,US,free,both,organic,0,1,1,0,1.3,0.16,2,1.0,0,0
u_000210,2025-09-10 00:00:00+00:00,EU,free,web,referral,0,0,0,0,0.8,0.55,0,14.1,1,0
u_000211,2026-02-07 00:00:00+00:00,EU,free,both,organic,0,1,0,0,1.8,0.29,0,44.0,0,1
u_000212,2026-03-03 00:00:00+00:00,US,free,mobile,paid,1,0,1,0,1.9,0.2,1,4.8,0,0
u_000213,2026-02-04 00:00:00+00:00,APAC,free,mobile,direct,1,0,0,0,3.3,0.27,0,8.9,0,0
u_000214,2026-01-27 00:00:00+00:00,EU,free,web,paid,0,2,3,0,5.3,0.16,1,10.3,0,1
u_000215,2026-01-10 00:00:00+00:00,EU,free,web,organic,0,2,0,0,2.2,0.14,0,3.0,0,0
u_000216,2025-08-16 00:00:00+00:00,US,free,both,organic,0,0,1,0,0.4,0.36,0,6.7,0,1
u_000217,2025-09-01 00:00:00+00:00,US,free,mobile,organic,1,2,0,2,1.2,0.35,1,10.7,0,1
u_000218,2026-01-20 00:00:00+00:00,APAC,enterprise,web,direct,0,0,1,0,2.1,0.21,0,8.5,0,0
u_000219,2026-02-22 00:00:00+00:00,US,free,both,paid,0,0,2,0,1.7,0.37,0,7.7,0,0
u_000220,2025-08-30 00:00:00+00:00,US,free,web,referral,0,1,0,0,3.9,0.11,3,5.8,1,1
u_000221,2026-04-26 00:00:00+00:00,US,free,both,paid,0,0,0,0,3.2,0.22,1,3.8,2,1
u_000222,2025-10-29 00:00:00+00:00,EU,free,web,referral,0,0,0,0,4.4,0.22,0,12.7,1,0
u_000223,2026-02-18 00:00:00+00:00,Other,free,both,referral,0,0,2,0,0.2,0.17,0,30.2,0,0
u_000224,2025-10-19 00:00:00+00:00,US,free,web,organic,0,0,0,0,5.0,0.14,0,1.5,0,0
u_000225,2025-12-07 00:00:00+00:00,APAC,pro,web,organic,0,0,3,0,0.4,0.28,0,1.3,0,0
u_000226,2026-04-28 00:00:00+00:00,US,free,mobile,organic,1,0,1,0,3.7,0.32,0,2.8,0,0
u_000227,2026-01-27 00:00:00+00:00,EU,free,web,paid,0,0,2,1,5.9,0.32,0,5.2,0,0
u_000228,2025-11-21 00:00:00+00:00,EU,free,both,direct,0,0,0,0,0.2,0.44,1,6.0,0,0
u_000229,2025-09-03 00:00:00+00:00,US,free,mobile,paid,1,0,1,0,2.2,0.13,1,8.2,0,0
u_000230,2025-06-21 00:00:00+00:00,US,enterprise,web,paid,0,0,1,0,1.7,0.45,0,7.8,1,1
u_000231,2026-04-25 00:00:00+00:00,US,free,web,direct,0,2,1,0,0.7,0.35,0,6.6,0,0
u_000232,2025-09-10 00:00:00+00:00,Other,pro,both,organic,0,0,2,0,0.2,0.12,0,20.4,0,0
u_000233,2025-09-26 00:00:00+00:00,EU,pro,mobile,organic,1,0,0,2,5.1,0.42,0,3.5,1,0
u_000234,2026-05-21 00:00:00+00:00,APAC,free,both,direct,0,1,1,0,0.8,0.51,1,15.3,0,1
